Starting Adafruit TSL2591 Test!
Found a TSL2591 sensor
------------------------------------
Sensor:       TSL2591
Driver Ver:   1
Unique ID:    2591
Max Value:    88000.00 lux
Min Value:    0.00 lux
Resolution:   1.00 lux
------------------------------------

------------------------------------
Gain:         9876x (Max)
Timing:       100 ms
------------------------------------

[ 53232 ms ] IR: 34  Full: 95  Visible: 61  Lux: 0
[ 53855 ms ] IR: 34  Full: 84  Visible: 50  Lux: 0
[ 54478 ms ] IR: 21  Full: 97  Visible: 76  Lux: 0
[ 55101 ms ] IR: 35  Full: 87  Visible: 52  Lux: 0
[ 55724 ms ] IR: 22  Full: 81  Visible: 59  Lux: 0
[ 56347 ms ] IR: 31  Full: 89  Visible: 58  Lux: 0
[ 56970 ms ] IR: 22  Full: 75  Visible: 53  Lux: 0
[ 57592 ms ] IR: 20  Full: 83  Visible: 63  Lux: 0
[ 58216 ms ] IR: 30  Full: 66  Visible: 36  Lux: 0
[ 58839 ms ] IR: 16  Full: 81  Visible: 65  Lux: 0
[ 59461 ms ] IR: 30  Full: 72  Visible: 42  Lux: 0
[ 60085 ms ] IR: 19  Full: 93  Visible: 74  Lux: 0
[ 60707 ms ] IR: 36  Full: 90  Visible: 54  Lux: 0
[ 61331 ms ] IR: 25  Full: 93  Visible: 68  Lux: 0
[ 61954 ms ] IR: 35  Full: 85  Visible: 50  Lux: 0
[ 62576 ms ] IR: 24  Full: 84  Visible: 60  Lux: 0
[ 63200 ms ] IR: 23  Full: 87  Visible: 64  Lux: 0
[ 63822 ms ] IR: 24  Full: 75  Visible: 51  Lux: 0
[ 64445 ms ] IR: 21  Full: 77  Visible: 56  Lux: 0
[ 65069 ms ] IR: 32  Full: 85  Visible: 53  Lux: 0
[ 65691 ms ] IR: 33  Full: 79  Visible: 46  Lux: 0
[ 66314 ms ] IR: 22  Full: 94  Visible: 72  Lux: 0
[ 66937 ms ] IR: 37  Full: 87  Visible: 50  Lux: 0
[ 67560 ms ] IR: 34  Full: 89  Visible: 55  Lux: 0
[ 68184 ms ] IR: 34  Full: 70  Visible: 36  Lux: 0
[ 68806 ms ] IR: 20  Full: 105  Visible: 85  Lux: 0
[ 69429 ms ] IR: 37  Full: 103  Visible: 66  Lux: 0
[ 70052 ms ] IR: 37  Full: 114  Visible: 77  Lux: 0
